Experiment,Solute,k_Th,q_e
Experiment 0,Bicarbonate,2.0336447728607117,0.0
Experiment 0,Magnesium,0.4800403814997899,0.06408534865870305
Experiment 0,Sodium,4.111336566761209,8.37025557393427e-22
Experiment 0,Calcium,1.7065130438068719,0.10970349783930591
Experiment 0,Glucose,0.007175691232217122,101.74055175847182
Experiment 1,Bicarbonate,1.2173322287167816,0.2555717518192226
Experiment 1,Magnesium,4.079620799804403,0.04366451838619715
Experiment 1,Sodium,0.9073325730278465,0.814264239987824
Experiment 1,Calcium,16.28696575421117,0.10218344713268639
Experiment 1,Glucose,0.006524207633089822,107.49290581559619
Experiment 2,Bicarbonate,1.0355752551957291,0.2475291320608427
Experiment 2,Magnesium,7.16616929449007,0.08092723541830821
Experiment 2,Sodium,0.589680437335043,0.4222242906546758
Experiment 2,Calcium,19.25884062149125,0.19456381916014587
Experiment 2,Glucose,0.021153342944247422,117.84277593869344
Experiment 3,Bicarbonate,0.5188272011464939,0.5602193574035271
Experiment 3,Magnesium,2.8194520664039984,0.047086279211952416
Experiment 3,Sodium,0.8808812040263416,0.9709149148175412
Experiment 3,Calcium,6.98535647676385,0.08168935016264084
Experiment 3,Glucose,0.006761021234084051,107.44003803930423
Experiment 5,Bicarbonate,0.5293296684578278,0.0
Experiment 5,Magnesium,9.006049464207432,0.0
Experiment 5,Sodium,0.4252842694138379,0.259211112185406
Experiment 5,Calcium,3.0020537963791756,0.0
Experiment 5,Glucose,0.007671291170494992,0.0
